"","municipality","total","muslims","serbs","croats","yugoslavs","other","percent_muslims","percent_serbs","percent_croats","percent_yugoslavs","percent_other","fractionalization","polarization","percent_total_population"
"38","Ilidža",67937,29337,25029,6934,5181,1456,0.431826545181565,0.368414854939135,0.10206514859355,0.0762618308138422,0.0214316204719078,0.661103853784175,0.827401081933593,0.015521244642204
"39","Ilijaš",25184,10585,11325,1736,1167,371,0.420306543837357,0.449690279542567,0.0689326556543837,0.0463389453621347,0.0147315756035578,0.61400503349982,0.881509608656861,0.00575366920925659
"40","Jablanica",12691,9099,504,2291,581,216,0.716964778189268,0.0397131825703254,0.180521629501221,0.0457804743519029,0.0170199353872823,0.449410781215901,0.703981450281113,0.00289945266576697
"41","Jajce",45007,17380,8663,15811,2496,657,0.386162152554047,0.192481169595841,0.351300908747528,0.0554580398604662,0.0145977292421179,0.687128774914812,0.81850593261158,0.0102825361380643
"42","Kakanj",55950,30528,4929,16556,2554,1383,0.545630026809651,0.0880965147453083,0.295907059874888,0.0456478999106345,0.0247184986595174,0.604271154907396,0.826337269771018,0.012782631522312
"43","Kalesija",41809,33137,7659,35,275,703,0.792580544858763,0.183190222200962,0.000837140328637375,0.00657753115357937,0.0168145614580593,0.337930728204317,0.632121044342852,0.00955190422370587
"44","Kalinovik",4667,1716,2826,17,46,62,0.367688022284123,0.605528176558817,0.00364259695736019,0.00985643882579816,0.0132847653739019,0.497854242772184,0.921629624888921,0.00106624738721412
"45","Kiseljak",24164,9778,740,12550,600,496,0.404651547756994,0.0306240688627711,0.519367654361861,0.0248303261049495,0.0205264029134249,0.564538652595774,0.916216788238537,0.00552063463994903
"46","Kladanj",16070,11621,3952,36,277,184,0.723148724331052,0.245924082140635,0.00224019912881145,0.0172370877411325,0.0114499066583696,0.416144032273241,0.76323933561198,0.00367143679291429
"47","Ključ",37391,17696,18506,330,579,280,0.473268968468348,0.494931935492498,0.00882565323206119,0.0154850097617074,0.00748843304538525,0.530685108402787,0.968273095856912,0.00854254468723448
"48","Konjic",43878,23815,6620,11513,1358,572,0.542754911345093,0.150872874789188,0.262386617439263,0.0309494507498063,0.0130361456766489,0.61267993525659,0.82361266576431,0.0100245988549778
"49","Kotor Varoš",36853,11090,14056,10695,745,267,0.300925297804792,0.381407212438607,0.290207038775676,0.0202154505739017,0.0072450004070225,0.679291223613158,0.854097580487079,0.00841963037518794
"50","Kreševo",6731,1531,34,4714,251,201,0.227455058683702,0.00505125538552964,0.700341702570198,0.0372901500519982,0.0298618333085723,0.455477896359851,0.756693495155167,0.0015377996921659
"51","Kupres",9618,802,4864,3813,67,72,0.0833853191931795,0.505718444583073,0.396444167186525,0.00696610521938033,0.00748596381784155,0.580023199379101,0.91099942511013,0.00219737890941192
"52","Laktaši",29832,408,24176,2565,1530,1153,0.0136765888978278,0.81040493429874,0.0859814963797265,0.0512872083668544,0.0386497720568517,0.331539793038567,0.54156373036203,0.0068155757564542
"53","Livno",40600,5793,3913,29324,1125,445,0.142684729064039,0.0963793103448276,0.722266009852217,0.0277093596059113,0.0109605911330049,0.44779596447378,0.686392274487124,0.0092756897194972
"54","Ljubinje",4172,332,3748,39,19,34,0.0795781399808245,0.898370086289549,0.00934803451581975,0.00455417066155321,0.00814956855225312,0.186423966009988,0.352096640974209,0.000953157081520747
"55","Ljubuški",28340,1592,65,26127,227,329,0.0561750176429076,0.00229357798165138,0.921912491178546,0.00800988002822865,0.0116090331686662,0.14671753767265,0.278195217864334,0.00647470558252588
"56","Lopare",32537,11990,18243,1263,583,458,0.368503549804838,0.560684758889879,0.0388173464056305,0.0179180625134462,0.0140762823862065,0.547811749857805,0.903277277603523,0.0074335742956473
"57","Lukavac",57070,38080,12169,2159,3424,1238,0.667250744699492,0.21322936744349,0.0378307341860873,0.059996495531803,0.0216926581391274,0.503808365215325,0.756562896158345,0.0130385126180223
"58","Maglaj",43388,19569,13312,8365,1508,634,0.451023324421499,0.306812943671061,0.192795242924311,0.0347561537752374,0.0146123352078916,0.663852262163958,0.833227049849533,0.00991265087560455
"59","Modriča",35613,10375,12534,9805,1851,1048,0.291326201106338,0.351950130570297,0.27532080981664,0.0519754022407548,0.0294274562659703,0.711891184202036,0.795009494116185,0.00813633344779443
"60","Mostar",126628,43856,23846,43037,12768,3121,0.346337302966169,0.188315380484569,0.339869539122469,0.100830779922292,0.0246469975045014,0.718302165758028,0.772711171561821,0.0289300994532141
"61","Mrkonjić Grad",27395,3272,21057,2139,593,334,0.119437853622924,0.768643913122833,0.0780799415951816,0.02164628581858,0.0121920058404818,0.388207449965507,0.621902319517462,0.00625880590802034
"62","Neum",4325,190,207,3792,90,46,0.0439306358381503,0.0478612716763006,0.876763005780347,0.0208092485549133,0.010635838150289,0.226519883724815,0.397184164767599,0.000988112266916882
"63","Nevesinje",14448,3313,10711,210,123,91,0.229305094130676,0.741348283499446,0.0145348837209302,0.00851328903654485,0.0062984496124031,0.397498486955626,0.731990103757876,0.00330086613466245
"64","Bosanski Novi",41665,14040,25101,403,1557,564,0.336973478939158,0.602448097923917,0.00967238689547582,0.0373694947797912,0.0135365414616585,0.5218318916364,0.884776285498945,0.00951900522568598
"65","Sarajevo Novi Grad",136616,69430,37591,8889,15580,5126,0.50821280084324,0.275158107395913,0.0650655852901564,0.114042279088833,0.0375212273818586,0.647360750680202,0.794934716976195,0.031212010510316
"66","Novi Travnik",30713,11625,4097,12162,2132,697,0.378504216455573,0.133396281704816,0.395988669293133,0.0694168593103897,0.022693973236089,0.676799247166377,0.816641829407509,0.00701685365406201
"67","Sarajevo Novo Sarajevo",95089,33902,32899,8798,15099,4391,0.356529146378656,0.345981133464439,0.0925238460810399,0.158788082743535,0.0461777913323308,0.717277317341841,0.76437623582599,0.0217245334910658
"68","Odžak",30056,6220,5667,16338,1147,684,0.206947032206548,0.18854804365185,0.543585307426138,0.0381620974181528,0.0227575192973117,0.624163324282473,0.798328509873085,0.00686675197559625
"69","Olovo",16956,12699,3193,642,285,137,0.748938428874735,0.188310922387356,0.037862703467799,0.0168082094833687,0.00807973578674216,0.401848843913957,0.685311093014816,0.00387385701684223
"70","Orašje",28367,1893,4235,21308,626,305,0.0667324708287799,0.149293192794444,0.751154510522791,0.022067895794409,0.0107519300595763,0.408422625218795,0.656457833382744,0.00648087414465461
"71","Pale",16355,4364,11284,129,396,182,0.266829715683277,0.689941913787832,0.00788749617853867,0.0242127789666769,0.0111280953836747,0.452009752659041,0.802201492692028,0.00373654939316199
"72","Posušje",17134,6,9,16963,26,130,0.000350180926812186,0.000525271390218279,0.990019843585853,0.00151745068285281,0.00758725341426404,0.0198004416985817,0.0393670823337046,0.00391452383383904
"73","Prijedor",112543,49351,47581,6316,6459,2836,0.438507948073181,0.422780626071813,0.0561207716161823,0.0573913970660103,0.0251992571728139,0.621889005668929,0.87135832539307,0.0257121662093934
"74","Prnjavor",47055,7143,33508,1721,1757,2926,0.151801083838062,0.712102858357242,0.0365742216555095,0.0373392838168101,0.062182552332377,0.463267384444809,0.687170291556106,0.0107504329987916
"75","Prozor",19760,7225,45,12259,100,131,0.365637651821862,0.00227732793522267,0.620394736842105,0.00506072874493927,0.00662955465587044,0.48134472987592,0.92395565176743,0.00451447361717401
"76","Rogatica",21978,13209,8391,19,186,173,0.601010101010101,0.381790881790882,0.000864500864500864,0.00846300846300846,0.00787150787150787,0.492888250555008,0.937465745020974,0.00502120957278595
"77","Rudo",11571,3130,8150,5,106,180,0.27050384582145,0.704347074583009,0.000432114769682828,0.00916083311727595,0.0155561317085818,0.43039676710185,0.801501348452496,0.0026435715700567
"78","Bosanski Šamac",32960,2233,13628,14731,1755,613,0.067748786407767,0.413470873786408,0.44693567961165,0.053246359223301,0.0185983009708738,0.621519365191111,0.87219993823053,0.00753021510233073
"79","Sanski Most",60307,28136,25363,4322,1247,1239,0.466546172086159,0.420564776891571,0.071666639030295,0.0206775332880097,0.0205448787039647,0.599474178176159,0.896808050869345,0.0137780546776778
"80","Šekovići",9629,326,9030,10,129,134,0.0338560598192959,0.93779208640565,0.00103852944230969,0.013397029805795,0.0139162945269498,0.11902554768407,0.224742182566174,0.00219989202731622
"81","Šipovo",15579,2965,12333,31,155,95,0.190320302971949,0.791642595802041,0.00198985814237114,0.0099492907118557,0.00609795237178253,0.336940049844247,0.640176608952132,0.00355926034827702
"82","Široki Brijeg",27160,9,148,26864,20,119,0.000331369661266568,0.00544918998527246,0.989101620029455,0.000736377025036819,0.00438144329896907,0.0216284424812542,0.0428456858847247,0.00620511657097399
"83","Skender Vakuf",19418,1071,13263,4770,169,145,0.055155010814708,0.683026058296426,0.245648367494078,0.00870326501184468,0.00746729838294366,0.469958700650565,0.785603171546619,0.00443633849687677
"84","Sokolac",14883,4493,10195,19,83,93,0.301888060202916,0.68500974265941,0.0012766243364913,0.00557683262783041,0.00624874017335215,0.439553473983,0.846001102101308,0.00340024852451421
"85","Srbac",21840,940,19382,140,811,567,0.043040293040293,0.887454212454212,0.00641025641025641,0.0371336996336996,0.0259615384615385,0.208478549457258,0.369744085192463,0.00498968136635022
"86","Srebrenica",36666,27572,8315,38,380,361,0.75197730867834,0.226776850488191,0.00103638247968145,0.0103638247968145,0.00984563355697376,0.382896967862337,0.720871318033215,0.00837690737081489
"87","Srebrenik",40896,30528,5308,2752,1203,1105,0.746478873239437,0.129792644757433,0.0672926447574335,0.0294160798122066,0.0270197574334898,0.419799488092319,0.646812621770658,0.0093433154376492
"88","Sarajevo Stari Grad",50744,39410,5150,1126,3374,1684,0.776643544064323,0.101489831310106,0.0221898155446949,0.0664906195806401,0.0331861895002365,0.380509906024184,0.598604716649387,0.0115932413577873
"89","Stolac",18681,8101,3917,6188,307,168,0.433649162250415,0.209678282747176,0.3312456506611,0.0164338097532252,0.00899309458808415,0.657908794888538,0.859894513453656,0.00426795959728885
"90","Tešanj",48480,34941,3071,8929,1047,492,0.720730198019802,0.0633457095709571,0.18417904290429,0.0215965346534653,0.0101485148514851,0.442043980233419,0.708233011753479,0.0110759960000302
"91","Teslić",59854,12802,32962,9525,3465,1100,0.213887125338323,0.550706719684566,0.159137233935911,0.0578908677782604,0.0183780532629398,0.621960641870145,0.788028099377403,0.0136745599130735
"92","Tomislavgrad",30009,3148,576,25976,107,202,0.104901862774501,0.0191942417274818,0.865606984571295,0.0035655969875704,0.00673131393915159,0.239293704463111,0.443865708589655,0.00685601410818698
"93","Travnik",70747,31813,7777,26118,3743,1296,0.449672777644282,0.109926922696369,0.369174664650091,0.0529068370390264,0.018318797970232,0.646285819928127,0.843961772307731,0.0161632320341199
"94","Trebinje",30996,5571,21349,1246,1642,1188,0.179732868757259,0.688766292424829,0.0401987353206865,0.0529745773648213,0.0383275261324042,0.487405846879847,0.719072443630834,0.00708150932378166
"95","Trnovo",6991,4790,2059,16,72,54,0.685166642826491,0.294521527678444,0.00228865684451438,0.0102989558003147,0.00772421685023602,0.443632771325153,0.836656968354381,0.00159720066081293
"96","Tuzla",131618,62669,20271,20398,21995,6285,0.476143080733638,0.15401388867784,0.15497880229148,0.167112401039372,0.0477518272576699,0.695342268016518,0.738235648272679,0.0300701411207089
"97","Ugljevik",25587,10241,14468,56,290,532,0.400242310548325,0.565443389221089,0.00218861140422871,0.0113338804861844,0.0207918083401727,0.519514320272298,0.942287057698322,0.00584574071065948
