"municipality","party","municipality_code","vote_count","total_municipal_votes","percent_vote"
"Banja Luka","UDRUŽENA LJEVICA","034",370,111644,0.00331410554978324
"Banja Luka","VUČKOVIĆ ALEKSANDRA TOMISLAV","034",33,111644,0.000295582386872559
"Banja Luka","ZA BANJALUKU","034",12139,111644,0.10872953315897
"Banja Luka","ĐUDUROVIĆ VOJISLAV","034",105,111644,0.000940489412776325
"Banovići","BOSS - BOSANSKA STRANKA","078",339,11423,0.0296769675216668
"Banovići","HADŽISEJDIĆ EGON","078",161,11423,0.0140943710058654
"Banovići","HDZ BiH","078",284,11423,0.0248621202836383
"Banovići","KOALICIJA ZA CJELOVITU I DEMOKRATSKU BOSNU I HERCEGOVINU (SDA BiH, S BiH, LIBERALI BiH, GDS)","078",6778,11423,0.593364265079226
"Banovići","LBO","078",116,11423,0.0101549505383875
"Banovići","SAFER ZRNANOVIĆ","078",260,11423,0.0227610960343167
"Banovići","SDP BiH","078",2114,11423,0.185065219294406
"Banovići","ZDRUŽENA LISTA '97 (UBSD, HSS BiH, MBO BiH, REPUBLIKANSKA STRANKA I SPP BiH)","078",1371,11423,0.120021010242493
"Berkovići","SOCIJALISTIČKA PARTIJA REPUBLIKE SRPSKE (SPRS) BANJA LUKA","177",161,1458,0.11042524005487
"Berkovići","SRPSKA DEMOKRATSKA STRANKA (SRPSKIH ZEMALJA)","177",887,1458,0.608367626886145
"Berkovići","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","177",410,1458,0.281207133058985
"Bihać","BOSS - BOSANSKA STRANKA","003",483,29124,0.0165842604037907
"Bihać","BSP - BOŠNJAČKA STRANKA PRAVA","003",689,29124,0.0236574646339788
"Bihać","EJUB BAHTIĆ","003",159,29124,0.00545941491553358
"Bihać","HDZ BiH","003",1737,29124,0.0596415327564895
"Bihać","HRVATSKA STRANKA PRAVA / HSP","003",107,29124,0.00367394588655404
"Bihać","KOALICIJA ZA CJELOVITU I DEMOKRATSKU BOSNU I HERCEGOVINU (SDA BiH, S BiH, LIBERALI BiH, GDS)","003",21199,29124,0.727887652794946
"Bihać","SDP BiH","003",2412,29124,0.0828182941903585
"Bihać","SELJAČKA BOSANSKA STRANKA","003",138,29124,0.00473836011536877
"Bihać","SRP BiH","003",240,29124,0.00824062628759786
"Bihać","STUDENTSKA STRANKA BiH","003",163,29124,0.00559675868699354
"Bihać","ZAVIČAJ","003",720,29124,0.0247218788627936
"Bihać","ZDRUŽENA LISTA '97 (UBSD, HSS BiH, MBO BiH, REPUBLIKANSKA STRANKA I SPP BiH)","003",1077,29124,0.0369798104655954
"Bijeljina","BOSS - BOSANSKA STRANKA","029",131,68714,0.00190645283348372
"Bijeljina","BRANKO SAVIĆ","029",52,68714,0.000756759903367582
"Bijeljina","DEMOKRATSKA STRANKA RS","029",7525,68714,0.109511889862328
"Bijeljina","DEMOKRATSKI PREPOROD SRPSKE (DPS)","029",278,68714,0.00404575486800361
"Bijeljina","DIKO IVKOVIĆ","029",21,68714,0.000305614576359985
"Bijeljina","IVKOVIĆ - KOSTE - MILORAD","029",29,68714,0.000422039176878074
"Bijeljina","IZBJEGLIČKA STRANKA RS","029",936,68714,0.0136216782606165
"Bijeljina","IZIDIN","029",60,68714,0.000873184503885671
"Bijeljina","KOALICIJA ZA CJELOVITU I DEMOKRATSKU BOSNU I HERCEGOVINU (SDA BiH, S BiH, LIBERALI BiH, GDS)","029",12304,68714,0.179061035596822
"Bijeljina","NARODNA STRANKA R.S-e","029",147,68714,0.00213930203451989
"Bijeljina","NEZAVISNA STRANKA REPUBLIKE SRPSKE","029",124,68714,0.00180458130803039
"Bijeljina","NOVA RADNIČKA STRANKA RS","029",198,68714,0.00288150886282271
"Bijeljina","SADIK PAZARAC","029",195,68714,0.00283784963762843
"Bijeljina","SAVO IVKOVIĆ","029",34,68714,0.00049480455220188
"Bijeljina","SDP BiH","029",406,68714,0.00590854847629304
"Bijeljina","SNS RS","029",205,68714,0.00298338038827604
