"municipality","dist_hrv","dist_srb","dist_mne","dist_yug","dist_other_country","dist_internal_border"
"Bihać",0,217.843095891211,235.70141856435,217.843095891211,0,10.2171471265109
"Bosanska Krupa",0,205.658054911449,249.670016468265,205.658054911449,0,0
"Bosanski Petrovac",2.3189066809836,190.217514965464,214.825751534765,190.217514965464,2.3189066809836,0
"Bužim",0,219.890817749759,279.850636117145,219.890817749759,0,8.11277576086799
"Cazin",0,228.903576886644,275.119898869908,228.903576886644,0,7.76179483109481
"Ključ",33.5988648900543,170.445604297473,199.065080358554,170.445604297473,33.5988648900543,0
"Sanski Most",17.3517423011786,171.571960272153,208.903314153194,171.571960272153,17.3517423011786,0
"Velika Kladuša",0,224.740943095853,287.962819734797,224.740943095853,0,16.4136103877171
"Široki Brijeg",8.49069866908338,119.175207392583,73.4658299764391,73.4658299764391,8.49069866908338,20.1914445526898
"Grude",0,136.849842092391,89.1091446578374,89.1091446578374,0,36.0850007442718
"Ljubuški",0,127.772157057798,72.1782735700897,72.1782735700897,0,21.9697380391177
"Posušje",0,128.682142851899,96.670306698909,96.6703066989088,0,33.6875325850506
"Žepče",64.4256607705492,78.4625224626847,113.246753396747,78.4625224626847,64.4256607705492,0
"Breza",94.0636685179814,67.9231197268254,71.5787290909064,67.9231197268253,67.9231197268253,12.663179494575
"Doboj Jug",38.17536835659,77.5381416070888,143.340992843924,77.5381416070888,38.17536835659,0
"Kakanj",80.4106667179512,67.3208242955629,84.6895492201626,67.3208242955629,67.3208242955629,21.9539870590886
"Maglaj",49.8811245011015,66.3183672505371,120.539019416131,66.3183672505371,49.8811245011015,0
"Olovo",66.0097880721062,31.4497784549773,63.7754775955173,31.4497784549772,31.4497784549772,0
"Vareš",75.2976733526789,51.6876038410877,72.2230860403936,51.6876038410877,51.6876038410877,11.3535331421569
"Visoko",82.2915006677845,74.3822572021337,69.9379905643046,69.9379905643044,69.9379905643044,11.819784857291
"Zavidovići",58.5319444535624,50.4316304379939,94.6962814220608,50.4316304379939,50.4316304379939,5.78959488090006
"Zenica",67.9170714645106,82.6894452594634,100.501937555366,82.6894452594634,67.9170714645106,0
"Šipovo",35.5801984748253,146.33548487363,147.123098777262,146.33548487363,35.5801984748253,0
"Čelinac",33.1436356660478,110.039923121694,167.338803316616,110.039923121694,33.1436356660478,20.0918499174455
"Banja Luka",19.5187679057424,134.208601008654,174.54389810273,134.208601008654,19.5187679057424,1.93121384859144
"Bosanska Gradiška",0,122.471401762792,204.049113711198,122.471401762792,0,26.6862360835254
"Kostajnica",0,180.714169276138,251.750407379321,180.714169276138,0,6.47241956459625
"Dubica",0,152.462449711008,231.836976023658,152.462449711008,0,20.7700158388231
"Istočni Drvar",26.0732278170027,191.741610147346,203.260496030739,191.741610147346,26.0732278170027,0
"Jezero",57.6887510130456,150.451637728266,160.311501983175,150.451637728266,57.6887510130456,0
"Kotor Varoš",47.8628081573719,110.046950819598,137.274357313584,110.046950819598,47.8628081573719,0
"Krupa na Uni",2.81198760170579,205.692778961011,251.786024724252,205.692778961011,2.81198760170579,0
"Kupres-RS",36.8927206365856,153.448878533953,148.64671022743,148.64671022743,36.8927206365856,0
"Laktaši",14.9279280194248,120.723028901282,185.012726666858,120.723028901282,14.9279280194248,34.5131433832133
"Mrkonjić Grad",35.3823023859593,145.853138669082,170.974669610308,145.853138669082,35.3823023859593,0
"Novi Grad",0,188.853286182082,247.300114522539,188.853286182082,0,0
"Oštra Luka",13.4427862951836,166.670908063567,204.509783590175,166.670908063567,13.4427862951836,0
"Petrovac",20.9011693585885,189.899278324352,211.729697005718,189.899278324352,20.9011693585885,0
"Prijedor",11.9332318240802,155.418309677495,213.637831605042,155.418309677495,11.9332318240802,8.08445303247271e-07
"Prnjavor",6.47555650196473,94.6785499701401,164.707285802724,94.6785499701401,6.47555650196473,13.3301920202138
"Ribnik",34.1682620389839,163.384493170472,188.776953325391,163.384493170472,34.1682620389839,0
"Skender Vakuf / Kneževo",54.6426279393567,119.431912774885,141.777960225822,119.431912774885,54.6426279393567,0
"Srbac",0,97.2299101199406,189.032481014367,97.2299101199406,0,30.6618762539532
"Teslić",33.7380604978677,90.7482602688312,132.159031672482,90.7482602688312,33.7380604978677,0
"Bijeljina",0,0,112.598325137345,0,0,0
"Lopare",9.10024059578561,14.5264720268983,109.578833966309,14.5264720268983,9.10024059578561,0
"Ugljevik",9.55431240797766,9.99431061058202,114.846025123403,9.99431061058231,9.55431240797766,0
"Šamac",1.32037358633145,31.2673939903934,156.707212110484,31.2673939903934,1.32037358633145,0
"Bosanski Brod",0,62.9819549116836,173.914203087794,62.9819549116836,0,0
"Derventa",0,70.9337794081785,161.497496657726,70.9337794081785,0,6.86362375012761
"Doboj",10.2236744870873,55.3068766516814,140.634621232334,55.3068766516814,10.2236744870873,0
"Donji Žabar",4.68263643271394,24.4193067444066,154.266610426832,24.4193067444066,4.68263643271394,0
"Modriča",8.9961044640171,45.1622678345082,155.332557956462,45.1622678345082,8.9961044640171,1.07231402122287
"Pelagićevo",8.53431101471084,27.6151451861625,146.280700334965,27.6151451861625,8.53431101471084,0
"Petrovo",42.2783988744467,56.6633534127328,124.212766880783,56.6633534127328,42.2783988744467,0
"Vukosavlje",2.75793506595204,49.5320220405772,167.293173089315,49.5320220405772,2.75793506595204,0
"Čajniče",110.66909697296,0,0,0,0,2.31286388466213
"Foča",75.2777751126132,13.2672886376391,0,0,0,0
"Kalinovik",53.5776099939549,46.9155780608548,13.2305467831485,13.2305467831483,13.2305467831483,0
"Novo Goražde",113.054064757778,11.9035548768395,2.14177283918894,2.14177283918796,2.14177283918796,0
"Rudo",127.396208123709,0,10.2146869346475,0,0,9.8050481832541
"Višegrad",100.362619830214,0,17.1440161924003,0,0,12.9171562349036
"East New Sarajevo",93.3144961335961,62.9997228119894,45.9633919194828,45.9633919194826,45.9633919194826,0
"Han Pijesak",75.9963936972755,8.82512937600784,48.289236638675,8.82512937600784,8.82512937600784,0
"Istočna Ilidža",89.3803798656337,68.5769312357844,51.5969071444895,51.5969071444894,51.5969071444894,0
"Istočni Stari Grad",97.2173801705991,54.6695400992496,48.7215803392808,48.7215803392806,48.7215803392806,0
"Pale",99.1510315042483,36.0253390758201,26.1067673474176,26.1067673474166,26.1067673474166,0
"Rogatica",92.2399326117341,3.59052352382753,16.8003124757405,3.59052352382753,3.59052352382753,0
"Sokolac",81.4098741226122,16.7820883404381,33.9643558658857,16.7820883404381,16.7820883404381,0
"Trnovo-RS",81.4897628911383,54.3351764605577,35.4611137100031,35.461113710003,35.461113710003,0
"Berkovići",15.387629189555,85.8884612478852,23.9166446009366,23.9166446009366,15.387629189555,0
"Bileća",19.2798789876681,69.7315491708023,0,0,0,13.688823556377
"Gacko",46.5674715159891,45.050834261856,0,0,0,15.4480599178686
"Ljubinje",9.64706213252617,94.0688133802974,17.7594169365399,17.7594169365399,9.64706213252617,0
"Istočni Mostar",41.0503824555753,91.2678157389487,55.4079074533334,55.4079074533332,41.0503824555753,0
"Nevesinje",25.1310249277839,70.2862959933676,16.0861007757614,16.0861007757614,16.0861007757614,0
"Trebinje",0,93.0250675292139,0,0,0,0
"Šekovići",52.8158417791352,9.37466920538563,75.8537861927365,9.37466920538563,9.37466920538563,0
"Bratunac",65.113131671155,0,61.903865075618,0,0,20.4636819583643
"Milići",68.1081016180693,6.97660164033547,52.5182729846395,6.97660164033547,6.97660164033547,14.76491944853
"Osmaci",46.4213651209837,7.92880520656437,89.1938060393099,7.92880520656437,7.92880520656437,0
"Srebrenica",76.1605184245844,0,47.2846804598434,0,0,27.6324524392684
"Vlasenica",59.8103818394636,4.88064936343058,62.6011572754155,4.88064936343077,4.88064936343077,0
"Zvornik",26.9190283326516,0,80.0131850384273,0,0,0
"Tešanj",39.3082069126323,78.1016495369067,135.687806049982,78.1016495369067,39.3082069126323,0
"Usora",35.9427784599196,79.6594456052124,143.793045463858,79.6594456052124,35.9427784599196,0
