"Municipality","Canton","Entity","Sarajevo District","Split by IEBL","Municipality Area","Municipality Perimeter","Population, 2013","Bosniak Population, 2013","Croat Population, 2013","Serb Population, 2013","Not Declared Population, 2013","Other Population, 2013","No Answer Population, 2013","Bosniak Population Percentage, 2013","Croat Population Percentage, 2013","Serb Population Percentage, 2013","Not Declared Population Percentage, 2013","Other Population Percentage, 2013","No Answer Population Percentage, 2013","Ethnic Fractionalization, 2013","Ethnic Polarization, 2013","Percent of Population, 2013","Proportion of Votes for Nationalist Parties, 1997","Proportion of Votes for Non-Nationalist Parties, 1997","Proportion of Votes for Independent Parties, 1997","Proportion of Votes for Other Parties, 1997","Proportion of Invalid Ballots, 1997","Number of Votes Cast In-District, 1997","Number of Votes Cast Out-District, 1997","Total Votes Cast, 1997","Proportion of Votes Cast In-District, 1997","Proportion of Votes Cast Out-District, 1997","Distance to Croatia","Distance to Serbia","Distance to Montenegro","Distance to Yugoslavia","Distance to Another Country","Distance to IEBL","Republika Srpska Municipality","Federation Municipality"
"Gornji Vakuf-Uskoplje","Central Bosnia","Federacija Bosna i Hercegovina",0,0,403.559459026701,94.8316689932535,20933,12004,8660,30,28,170,41,0.573448621793341,0.413700855109158,0.00143314383987006,0.00133760091721206,0.00812114842593035,0.00195862991448908,0.499934648284892,0.962743260612482,0.0058881391393185,0.973005803752193,0.0269941962478067,0,0,0,11813,3005,14818,0.797206100688352,0.202793899311648,44.2164406644412,111.30019524338,96.4421893701516,96.4421893701514,44.2164406644412,21.8320042005541,0,0
"Gradačac","Tuzla","Federacija Bosna i Hercegovina",0,1,187.557040136244,73.368758088966,39340,37130,918,345,167,727,53,0.943823080833757,0.0233350279613625,0.00876970005083884,0.00424504321301474,0.0184799186578546,0.00134722928317234,0.108215218104313,0.204022061890905,0.0110657523403616,0.851952251866648,0.148047748133352,0,0,0,18578,2449,21027,0.883530698625577,0.116469301374423,15.3263528710537,33.7236657217011,139.393502736895,33.7236657217011,15.3263528710537,0,0,0
"Gradiška","Banja Luka","Repuplika Srpska",0,0,752.437483158148,160.890322114819,51727,7580,826,41863,416,999,43,0.14653855819978,0.0159684497457807,0.809306551704139,0.00804222166373461,0.0193129313511319,0.000831287335434106,0.322856007256906,0.575632959472538,0.0145500297740184,0.763075886465089,0.197478873634858,0,0.0394452399000533,0,27468,8151,35619,0.771161458772004,0.228838541227996,0,122.00767990844,203.256776136079,122.00767990844,0,27.7486548917138,0,0
"Gračanica","Tuzla","Federacija Bosna i Hercegovina",0,1,203.604562608973,81.128267891978,45220,43857,72,157,137,924,73,0.969858469703671,0.0015922158337019,0.0034719150818222,0.0030296329057939,0.0204334365325077,0.00161432994250332,0.0589306493332219,0.115148722269411,0.0127197082061808,0.660188530376645,0.257921182675138,0.0127071134919646,0.0443503176778373,0.0248328557784145,22599,1482,24081,0.938457705244799,0.0615422947552012,29.2348462132338,45.6864247244382,125.50861777117,45.6864247244382,29.2348462132338,0,0,0
"Grude","West Herzegovina","Federacija Bosna i Hercegovina",0,0,204.070180722631,71.5878794933218,17308,3,17216,10,3,11,65,0.000173330251906633,0.99468453894153,0.000577767506355443,0.000173330251906633,0.000635544256990987,0.00375548879131038,0.0105877664760679,0.0210958043119842,0.0048684809737412,1,0,0,0,0,5569,385,5954,0.935337588176016,0.0646624118239839,0,136.432894196915,88.1806318803606,88.1806318803606,0,34.635053908466,0,0
"Hadžići","Sarajevo","Federacija Bosna i Hercegovina",1,0,267.635598745692,79.5409383018107,23891,22120,179,218,117,900,357,0.925871667154996,0.00749236114017831,0.00912477501988196,0.00489724163911096,0.0376710895316228,0.0149428655142104,0.140955875773064,0.261173342651277,0.00672018020242957,0.799445755927332,0.181258339320538,0,0.0192959047521297,0,9042,701,9743,0.928050908344452,0.0719490916555476,64.8940256923746,77.2361197254051,58.6086790789589,58.6086790789587,58.6086790789587,5.76581785246829,0,0
"Han Pijesak","Istočno Sarajevo","Repuplika Srpska",0,0,349.850748719119,98.9228067058646,3530,431,7,3068,3,21,0,0.122096317280453,0.00198300283286119,0.869121813031161,0.00084985835694051,0.00594900849858357,0,0.2296797181584,0.447955990792457,0.000992936089513892,0.887719298245614,0.112280701754386,0,0,0,2600,1105,3705,0.701754385964912,0.298245614035088,77.8949678332312,6.80561426338645,44.9082696641797,6.80561426338645,6.80561426338645,0,0,0
"Ilidža","Sarajevo","Federacija Bosna i Hercegovina",1,1,147.034922327775,72.1838045483444,66730,58120,3030,1600,657,3259,64,0.87097257605275,0.0454068634796943,0.0239772216394425,0.00984564663569609,0.0488386033268395,0.000959088865577701,0.236287015571383,0.41109694758719,0.0187701487969581,0.737526443423972,0.194675197358237,0.0499458232289356,0.0178525359888551,0,15921,3460,19381,0.821474640111449,0.178525359888551,81.5201082928011,68.606278948421,50.2808452546121,50.280845254612,50.280845254612,0,0,0
"Ilijaš","Sarajevo","Federacija Bosna i Hercegovina",1,0,294.132389678506,109.043731876184,19603,18151,382,421,101,528,20,0.925929704637045,0.019486813242871,0.0214763046472479,0.005152272611335,0.0269346528592562,0.00102025200224455,0.141060152167232,0.260243616825989,0.00551403007443083,0.581398947694212,0.402197462086041,0,0.0164035902197462,0,5598,864,6462,0.866295264623955,0.133704735376045,89.4002173675686,49.9001864344105,57.6031559854224,49.9001864344105,49.9001864344105,0,0,0
"Istočna Ilidža","Istočno Sarajevo","Repuplika Srpska",1,1,33.7560014513944,27.5285115977148,14765,648,156,13755,96,98,12,0.0438875719607179,0.0105655265831358,0.931594988147646,0.00650186251269895,0.00663731798171351,0.000812732814087369,0.130006039992849,0.245620250247098,0.00415317319027553,0.908853350057489,0.0492317340859204,0,0.0419149158565904,0,8909,658,9567,0.931221908644298,0.0687780913557019,88.9667342790707,67.926342387579,50.1422592290688,50.1422592290686,50.1422592290686,0,0,0
"Istočni Drvar","Banja Luka","Repuplika Srpska",0,1,93.0954018898577,43.6224364769187,79,0,1,78,0,0,0,0,0.0126582278481013,0.987341772151899,0,0,0,0.0249959942316935,0.0499919884633871,2.22215158843052e-05,0.76510067114094,0.201342281879195,0,0.0335570469798658,0,30,268,298,0.100671140939597,0.899328859060403,26.9085095834342,190.365457332822,200.27900679302,190.365457332822,26.9085095834342,0,0,0
"Istočni Mostar","Trebinje","Repuplika Srpska",0,1,71.9898444545021,39.2350146612378,257,78,11,166,0,0,2,0.303501945525292,0.0428015564202335,0.64591439688716,0,0,0.00778210116731518,0.488788626625687,0.854787622890281,7.22902478767904e-05,1,0,0,0,0,160,913,1073,0.149114631873253,0.850885368126747,38.8967598624457,91.2507400479728,54.6263531926894,54.6263531926894,38.8967598624457,0,0,0
"Istočni Stari Grad","Istočno Sarajevo","Repuplika Srpska",1,1,79.3119668389485,48.5479710569673,1131,43,7,1071,2,7,1,0.0380194518125553,0.00618921308576481,0.946949602122016,0.0017683465959328,0.00618921308576481,0.000884173297966401,0.101760450795482,0.196166296394331,0.000318133347660117,1,0,0,0,0,1354,82,1436,0.942896935933148,0.0571030640668524,98.0893025637297,53.8161177669042,47.613245901789,47.6132459017889,47.6132459017889,0,0,0
"Istočno Novo Sarajevo","Istočno Sarajevo","Repuplika Srpska",1,1,40.3244132869782,29.4526530028006,10642,44,107,10248,62,175,6,0.0041345611727119,0.0100545010336403,0.962976884044353,0.00582597256154858,0.0164442773914678,0.000563803796278895,0.0722526591191671,0.138998286358754,0.00299343508912375,0.88043252235392,0.0802661676024121,0,0.0393013100436681,0,3476,1333,4809,0.722811395300478,0.277188604699522,93.9690586599335,62.585057458364,45.3743919321751,45.3743919321749,45.3743919321749,0,0,0
"Jablanica","Herzegovina-Neretva","Federacija Bosna i Hercegovina",0,0,307.678211087544,92.6960179940939,10111,9045,726,63,104,170,3,0.894570270002967,0.0718029868460093,0.0062308377015132,0.0102858273167837,0.0168133715755118,0.000296706557214914,0.19416096402624,0.35831025236544,0.00284407274817987,0.762514360741835,0.19826029870343,0.0392253405547349,0,0,5522,571,6093,0.906285901854587,0.0937140981454128,25.8257239613977,105.577172710435,74.3265339650294,74.3265339650292,25.8257239613977,13.7948745979704,0,0
"Jajce","Central Bosnia","Federacija Bosna i Hercegovina",0,1,316.140173985779,81.1830233182132,27258,13269,12555,501,95,800,38,0.4867928681488,0.460598723310588,0.0183799251595862,0.00348521534962213,0.0293491818915548,0.00139408613984885,0.549668233275347,0.948918710148054,0.00766726683511888,0.949538740737007,0.0480919493875082,0,0.0023693098754852,0,8985,10852,19837,0.452941473004991,0.547058526995009,58.1668067318667,132.582271553954,145.337805961515,132.582271553954,58.1668067318667,0,0,0
"Jezero","Banja Luka","Repuplika Srpska",0,1,77.7801108926266,57.7256286649014,1144,287,11,841,3,1,1,0.250874125874126,0.00961538461538462,0.73513986013986,0.00262237762237762,0.000874125874125874,0.000874125874125874,0.396530698322656,0.761547340013891,0.000321790052805635,0.758083832335329,0.219161676646707,0,0.0227544910179641,0,563,272,835,0.674251497005988,0.325748502994012,58.6786067193354,148.695064985847,157.838264982746,148.695064985847,58.6786067193354,0,0,0
