"municipality","community","total","muslims","serbs","croats","yugoslavs","others","muslims_percent","serbs_percent","croats_percent","yugoslavs_percent","others_percent","population_percent_of_municipality","fractionalization","polarization"
"Banja Luka","Piskavica",2702,1,2630,18,23,30,0.000370096225018505,0.973353071798668,0.00666173205033309,0.00851221317542561,0.0111028867505551,0.0138074116468737,0.0523435501076319,0.101934791480867
"Banja Luka","Pobrđe",2565,694,1337,100,318,116,0.27056530214425,0.521247563352827,0.0389863547758285,0.123976608187135,0.045224171539961,0.0131073319297672,0.636160034046563,0.801413305691833
"Banja Luka","Prijakovci",673,9,482,144,31,7,0.0133729569093611,0.716196136701337,0.213967310549777,0.0460624071322437,0.0104011887072808,0.00343907773439895,0.438872317736334,0.735468594366251
"Banja Luka","Rekavice 1",496,0,484,8,4,0,0,0.975806451612903,0.0161290322580645,0.00806451612903226,0,0.0025345951801811,0.0474765868886575,0.0934300627706354
"Banja Luka","Rekavice 2",1260,0,1198,31,22,9,0,0.950793650793651,0.0246031746031746,0.0174603174603175,0.00714285714285714,0.00643868936900844,0.0950302343159487,0.181694321467564
"Banja Luka","Rosulje",7023,500,4091,988,1104,340,0.0711946461626086,0.582514594902463,0.140680620817315,0.15719777872704,0.0484123593905738,0.0358880281258304,0.608762133831378,0.745736149176043
"Banja Luka","Saračica",2640,3,2279,175,98,85,0.00113636363636364,0.863257575757576,0.0662878787878788,0.0371212121212121,0.0321969696969697,0.013490587249351,0.247976354453627,0.433346073075799
"Banja Luka","Starčevica",12738,2350,6770,813,2264,541,0.184487360653164,0.531480609200816,0.0638247762600094,0.177735908305857,0.0424713455801539,0.0650920834781187,0.646025305441422,0.76646426752565
"Banja Luka","Stratinska",730,0,311,412,5,2,0,0.426027397260274,0.564383561643836,0.00684931506849315,0.00273972602739726,0.00373035177728267,0.499917432914243,0.971944444587255
"Banja Luka","Stričići",2195,0,2184,1,6,4,0,0.99498861047836,0.000455580865603645,0.00273348519362187,0.00182232346241458,0.0112166056864869,0.00998666466031184,0.0198890444610882
"Banja Luka","Verići",1237,0,1225,2,8,2,0,0.990299110751819,0.00161681487469685,0.00646725949878739,0.00161681487469685,0.0063211577376694,0.019260617618054,0.0382414493795781
"Banja Luka","Vilusi",239,0,239,0,0,0,0,1,0,0,0,0.00122130695174049,0,0
"Banja Luka","Vrbanja",4227,3053,669,190,249,66,0.72226165128933,0.158268275372605,0.0449491365034303,0.0589070262597587,0.0156139105748758,0.021600269811745,0.447555003268779,0.685620584728003
"Banja Luka","Zalužani",5554,38,1687,3168,442,219,0.00684191573640619,0.303745048613612,0.570399711919337,0.079582283039251,0.0394310406913936,0.028381333932915,0.574448155530362,0.84551793564992
"Banja Luka","Čaire",2827,783,1095,207,628,114,0.276972055182172,0.387336399009551,0.073222497347011,0.222143615139724,0.0403254333215423,0.0144461705128467,0.716921534212829,0.76919451421776
"Banja Luka","Česma",1678,10,774,531,264,99,0.00595947556615018,0.461263408820024,0.316448152562574,0.157330154946365,0.0589988081048868,0.00857469901682235,0.658827482061197,0.828973704162974
"Banja Luka","Šargovac",1599,8,216,1291,44,40,0.00500312695434647,0.135084427767355,0.807379612257661,0.0275171982489056,0.0250156347717323,0.00817100341352738,0.328482349623612,0.570864330684016
"Banja Luka","Šimići",1520,0,12,1493,0,15,0,0.00789473684210526,0.982236842105263,0,0.00986842105263158,0.00776730781023241,0.0350510734072021,0.0691838505977546
"Banovići","Banovići Selo",2354,2311,8,3,21,11,0.981733220050977,0.00339847068819031,0.00127442650807137,0.00892098555649957,0.00467289719626168,0.0885295223768334,0.0360852909308906,0.070877060055028
"Banovići","Brezovača",838,798,33,1,5,1,0.952267303102625,0.0393794749403341,0.00119331742243437,0.00596658711217184,0.00119331742243437,0.0315156073711922,0.0915977922203677,0.179250155305068
"Banovići","Gornji Bučik",437,433,0,0,1,3,0.990846681922197,0,0,0.0022883295194508,0.0068649885583524,0.0164347499059797,0.018170488403877,0.0361541900489125
"Banovići","Grad 1",2124,761,732,149,415,67,0.358286252354049,0.344632768361582,0.07015065913371,0.195386064030132,0.0315442561205273,0.0798796540052651,0.708767347257245,0.785886183682453
"Banovići","Grad 2",4781,2174,1404,270,814,119,0.454716586488182,0.293662413720979,0.0564735411001882,0.170257268353901,0.0248901903367496,0.179804437758556,0.674198892893378,0.805300120310781
"Banovići","Grad 3",1732,908,398,76,296,54,0.524249422632795,0.229792147806005,0.0438799076212471,0.170900692840647,0.0311778290993072,0.0651372696502445,0.640253561542277,0.793690868047477
"Banovići","Grivice",1743,1686,4,1,17,35,0.967297762478485,0.00229489386115892,0.00057372346528973,0.00975329890992542,0.0200803212851406,0.0655509590071455,0.0638310968651263,0.124372971180811
"Banovići","Lozna",1279,383,882,0,4,10,0.299452697419859,0.689601250977326,0,0.00312744331508991,0.00781860828772478,0.0481007897705905,0.434707285121231,0.841999651073597
"Banovići","Omazići",1248,1092,2,1,135,18,0.875,0.0016025641025641,0.000801282051282051,0.108173076923077,0.0144230769230769,0.0469349379465965,0.222462350016437,0.425387967888661
"Banovići","Oskova",558,279,96,41,137,5,0.5,0.172043010752688,0.0734767025089606,0.245519713261649,0.00896057347670251,0.0209853328318917,0.654642155162447,0.800273040729704
"Banovići","Podgorje",742,730,1,0,6,5,0.983827493261456,0.00134770889487871,0,0.00808625336927224,0.00673854447439353,0.0279052275291463,0.0319708517084298,0.0630616453275424
"Banovići","Pribitkovići",1375,1347,18,0,8,2,0.979636363636364,0.0130909090909091,0,0.00581818181818182,0.00145454545454545,0.0517111696126363,0.0401052561983472,0.0789904829451539
"Banovići","Repnik",2066,2004,15,1,19,27,0.96999031945789,0.00726040658276864,0.000484027105517909,0.00919651500484027,0.0130687318489835,0.0776983828506957,0.0588104647316203,0.114161870367946
"Banovići","Seona",1248,996,218,1,9,24,0.798076923076923,0.174679487179487,0.000801282051282051,0.00721153846153846,0.0192307692307692,0.0469349379465965,0.332137830785667,0.616832555856629
"Banovići","Treštenica",1393,1040,323,1,15,14,0.746590093323762,0.231873653984207,0.000717875089734386,0.0107681263460158,0.0100502512562814,0.0523881158330199,0.388620365698866,0.731054751181715
"Banovići","Tulovići",1155,1148,0,1,1,5,0.993939393939394,0,0.000865800865800866,0.000865800865800866,0.00432900432900433,0.0434373824746145,0.0120642416746312,0.0240300954269586
"Banovići","Čubrić",1177,1072,44,4,23,34,0.910790144435004,0.0373831775700935,0.00339847068819031,0.0195412064570943,0.0288870008496177,0.0442647611884167,0.167835943663924,0.30617818519384
"Banovići","Željova",340,0,336,0,2,2,0,0.988235294117647,0,0.00588235294117647,0.00588235294117647,0.0127867619405792,0.0233217993079583,0.0462332587014043
"Bihać","Bakšaiš",2218,1098,35,1002,71,12,0.495040577096483,0.0157799819657349,0.45175834084761,0.0320108205590622,0.00541027953110911,0.0313578012780637,0.549546256914287,0.947609112378521
"Bihać","Brekovica",2677,2540,73,3,9,52,0.948823309675009,0.0272693313410534,0.00112065745237206,0.00336197235711617,0.019424729174449,0.0378470847706837,0.0986008317508169,0.188713864608017
"Bihać","Centar Bihać",1371,514,456,82,281,38,0.37490882567469,0.332603938730853,0.0598103574033552,0.204959883296864,0.0277169948942378,0.0193830232426624,0.702463927952199,0.796801580215158
"Bihać","Doljani",154,0,154,0,0,0,0,1,0,0,0,0.00217723237007295,0,0
"Bihać","Donje Prekounje",1955,1351,285,54,210,55,0.691048593350384,0.145780051150895,0.0276214833759591,0.107416879795396,0.0281329923273657,0.0276395408019001,0.48810722064874,0.710011787748394
"Bihać","Gata Ilidža",2264,1870,360,25,5,4,0.825971731448763,0.159010600706714,0.0110424028268551,0.00220848056537102,0.00176678445229682,0.032008143414579,0.292356394136523,0.560478571856698
"Bihać","Golubić",730,437,13,246,22,12,0.598630136986301,0.0178082191780822,0.336986301369863,0.0301369863013699,0.0164383561643836,0.0103206469490471,0.526586601613811,0.882335712835172
"Bihać","Gornje Prekounje",3541,2523,618,69,275,56,0.712510590228749,0.174526969782547,0.0194860208980514,0.0776616774922338,0.0158147415984185,0.0500622066391449,0.45520784841723,0.709100615718369
"Bihać","Grmuša",304,3,288,0,4,9,0.00986842105263158,0.947368421052632,0,0.0131578947368421,0.0296052631578947,0.00429791325001414,0.101346087257618,0.193420027518589
"Bihać","Harmani",5697,2353,1790,277,1055,222,0.413024398806389,0.314200456380551,0.0486220817974372,0.185185185185185,0.0389678778304371,0.0805434598201663,0.692512764047878,0.797946001803752
"Bihać","Hatinac",2289,1875,186,56,139,33,0.81913499344692,0.0812581913499345,0.0244648318042813,0.0607252075141983,0.0144167758846658,0.0323615902279025,0.317921046599489,0.526703595202211
"Bihać","Izačić",3201,3108,57,6,15,15,0.970946579194002,0.0178069353327085,0.00187441424554827,0.00468603561387067,0.00468603561387067,0.0452553299779449,0.05689822211721,0.11099360726121
"Bihać","Jezero-Privilica",3601,1315,1447,321,433,85,0.365176339905582,0.401832824215496,0.0891419050263816,0.120244376562066,0.0236045542904749,0.0509104789911214,0.682214457846377,0.806976138622708
"Bihać","Kamenica",1309,928,340,10,17,14,0.708938120702827,0.25974025974026,0.00763941940412529,0.012987012987013,0.0106951871657754,0.0185064751456201,0.429600328220739,0.786259657362538
